epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.99998,2.00749,1.8583,1.69413,0.70553,0.43097,0.52816,0.27247,1.77906,1.24677,1.31465,0.0002,0.0002,0.0002
2,6.3152,1.79809,1.67779,1.56245,0.72044,0.42581,0.52581,0.25502,1.8647,1.27813,1.36648,0.000415842,0.000415842,0.000415842
3,8.58892,1.81392,1.58946,1.59791,0.65664,0.4333,0.50209,0.22446,1.99979,1.33699,1.45325,0.000627328,0.000627328,0.000627328
4,10.8899,1.72571,1.47284,1.52967,0.64078,0.4177,0.4787,0.21061,2.05684,1.37125,1.50111,0.000834458,0.000834458,0.000834458
5,13.3914,1.70892,1.40434,1.50724,0.64527,0.40847,0.46463,0.21799,2.0301,1.36391,1.49523,0.00103723,0.00103723,0.00103723
6,15.9896,1.66106,1.3508,1.51253,0.66459,0.40083,0.47103,0.22067,2.00218,1.34688,1.47072,0.00123565,0.00123565,0.00123565
7,18.5299,1.71279,1.41167,1.53324,0.67679,0.40933,0.47852,0.21876,2.01922,1.36742,1.46355,0.00142971,0.00142971,0.00142971
8,21.1827,1.79288,1.46059,1.5983,0.68342,0.39573,0.46936,0.2066,2.08041,1.4124,1.48489,0.00161942,0.00161942,0.00161942
9,23.7944,1.76169,1.41702,1.57107,0.6856,0.39226,0.46753,0.20879,2.05821,1.42064,1.47338,0.00180477,0.00180477,0.00180477
10,26.2619,1.76284,1.5212,1.59092,0.68461,0.39183,0.46964,0.22303,1.98579,1.42105,1.44268,0.0018218,0.0018218,0.0018218
11,28.5901,1.75043,1.45294,1.57672,0.67924,0.39223,0.46769,0.22595,1.97978,1.44267,1.43624,0.001802,0.001802,0.001802
12,31.1312,1.70941,1.37763,1.52126,0.69578,0.39829,0.47423,0.23097,1.95326,1.42512,1.42912,0.0017822,0.0017822,0.0017822
