epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2069,1.69958,1.3118,1.49757,0.67611,0.45191,0.52482,0.21594,2.11793,1.26305,1.47659,0.000660194,0.000660194,0.000660194
2,32.0527,1.60659,1.15072,1.43212,0.6989,0.41015,0.48256,0.2342,1.97583,1.36393,1.42066,0.00131372,0.00131372,0.00131372
3,46.4716,1.59342,1.15732,1.44428,0.73351,0.36008,0.44727,0.23024,1.94573,1.54259,1.416,0.00195406,0.00195406,0.00195406
4,60.8388,1.60787,1.15457,1.43963,0.72357,0.42248,0.50815,0.26044,1.84515,1.30005,1.36001,0.0019406,0.0019406,0.0019406
5,75.189,1.56687,1.10713,1.41766,0.76075,0.38013,0.47297,0.23307,1.92888,1.48104,1.39076,0.0019208,0.0019208,0.0019208
6,89.5543,1.57163,1.09098,1.42147,0.68552,0.44031,0.50868,0.24735,1.91045,1.25141,1.38063,0.001901,0.001901,0.001901
7,104.097,1.56702,1.09701,1.40758,0.72273,0.37918,0.46906,0.25514,1.77182,1.50891,1.34688,0.0018812,0.0018812,0.0018812
8,118.566,1.58635,1.11495,1.42636,0.77497,0.35435,0.43937,0.23551,1.87262,1.73364,1.39116,0.0018614,0.0018614,0.0018614
9,133.082,1.56862,1.11163,1.41648,0.75993,0.42948,0.52317,0.25777,1.94971,1.28632,1.39444,0.0018416,0.0018416,0.0018416
10,147.502,1.56215,1.07802,1.41032,0.72468,0.43744,0.5157,0.24119,1.98315,1.27904,1.41562,0.0018218,0.0018218,0.0018218
11,161.967,1.53668,1.06295,1.39265,0.76494,0.38851,0.4663,0.22692,1.96497,1.38063,1.42335,0.001802,0.001802,0.001802
12,176.374,1.55056,1.06143,1.41126,0.71297,0.43575,0.51948,0.27293,1.81703,1.20813,1.32689,0.0017822,0.0017822,0.0017822
13,190.9,1.55545,1.07746,1.4042,0.74574,0.41927,0.50818,0.25355,1.90613,1.29489,1.36853,0.0017624,0.0017624,0.0017624
14,205.32,1.54307,1.06256,1.39724,0.80851,0.38983,0.48079,0.25506,1.85132,1.40188,1.35347,0.0017426,0.0017426,0.0017426
15,219.666,1.53844,1.04885,1.38936,0.78136,0.39821,0.49083,0.26155,1.82795,1.42549,1.35571,0.0017228,0.0017228,0.0017228
16,234.336,1.53142,1.04412,1.38986,0.76004,0.43663,0.52383,0.27418,1.8214,1.17744,1.33399,0.001703,0.001703,0.001703
17,248.752,1.57038,1.06479,1.4053,0.75435,0.43553,0.52908,0.25765,1.90693,1.22605,1.37278,0.0016832,0.0016832,0.0016832
18,263.299,1.53301,1.03461,1.39354,0.78237,0.40745,0.49889,0.26185,1.85336,1.29315,1.37199,0.0016634,0.0016634,0.0016634
19,277.67,1.51969,1.03298,1.39914,0.7605,0.39832,0.47304,0.25897,1.78218,1.50314,1.33894,0.0016436,0.0016436,0.0016436
20,292.15,1.52126,1.02466,1.38349,0.7894,0.37822,0.46469,0.26915,1.70756,1.54581,1.32664,0.0016238,0.0016238,0.0016238
